keyword,parent,company,funnel,until_date,status,date_range_start,date_range_end,data_points,error
versus versace watches,american eagle outfitters,Movado Group Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
kitchencraft cabinetry,mister car wash,"MasterBrand, Inc.",branded,2022-12-31,NOT_NORMALIZED,,,0,No data for kitchencraft cabinetry in window 1
hammarplast,card factory,Orthex OyjD,branded,2021-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
ahead,mister car wash,New Wave Group AB Class BD,branded,2010-01-31,failed,,,0,"Oxylabs API error: 204 (x-oxylabs-job-id=7421470956721284097) | keyword='ahead', date_from='2011-04-05', date_to='2016-04-04' | No Content"
memberscom,under armour,Nelly Group ABD,branded,2011-09-30,NOT_NORMALIZED,,,0,No data for memberscom in window 1
sverigeautomaten,trustpilot,Betsson AB Class BD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
edge entertainment,mister car wash,Asmodee Group AB Class BD,branded,2010-01-31,failed,,,0,"Oxylabs API error: 204 (x-oxylabs-job-id=7421471445106050049) | keyword='edge entertainment', date_from='2011-04-05', date_to='2016-04-04' | No Content"
academedia,trustpilot,AcadeMedia ABD,branded,2016-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
pysslingen förskolor,trustpilot,AcadeMedia ABD,branded,2016-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
vittra,mister car wash,AcadeMedia ABD,branded,2016-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
nti gymnasiet,mister car wash,AcadeMedia ABD,branded,2016-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
hermods,under armour,AcadeMedia ABD,branded,2016-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
eductus,webjet,AcadeMedia ABD,branded,2016-06-30,failed,,,0,"Oxylabs API error: 204 (x-oxylabs-job-id=7421472706941455361) | keyword='eductus', date_from='2011-04-05', date_to='2016-04-04' | No Content"
jensen education,mister car wash,AcadeMedia ABD,branded,2016-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
milavitsa,sandro,Silvano Fashion Group ASD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
lauma lingerie,boot barn,Silvano Fashion Group ASD,branded,2010-01-31,failed,,,0,"HTTPSConnectionPool(host='realtime.oxylabs.io', port=443): Read timed out. (read timeout=60)"
alisee,answear,Silvano Fashion Group ASD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
aveline,card factory,Silvano Fashion Group ASD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
hidalgo,trustpilot,Silvano Fashion Group ASD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
apranga,sandro,Apranga APBD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
zara,webjet,Apranga APBD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
massimo dutti,american eagle outfitters,Apranga APBD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
bershka,answear,Apranga APBD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
pull & bear,american eagle outfitters,Apranga APBD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
stradivarius,american eagle outfitters,Apranga APBD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
oysho,under armour,Apranga APBD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
zara home,answear,Apranga APBD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
mango,mister car wash,Apranga APBD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
aldo,webjet,Apranga APBD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
vecima networks,trustpilot,Vecima Networks Inc.D,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
entra,mister car wash,Vecima Networks Inc.D,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
terrace,mister car wash,Vecima Networks Inc.D,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
