keyword,date,value
versus versace watches,2011-04-09 03:00:00+03:00,0.0
versus versace watches,2011-04-16 03:00:00+03:00,0.0
versus versace watches,2011-04-23 03:00:00+03:00,0.0
versus versace watches,2011-04-30 03:00:00+03:00,0.0
versus versace watches,2011-05-07 03:00:00+03:00,0.0
versus versace watches,2011-05-14 03:00:00+03:00,0.0
versus versace watches,2011-05-21 03:00:00+03:00,0.0
versus versace watches,2011-05-28 03:00:00+03:00,0.0
versus versace watches,2011-06-04 03:00:00+03:00,0.0
versus versace watches,2011-06-11 03:00:00+03:00,0.0
versus versace watches,2011-06-18 03:00:00+03:00,0.0
versus versace watches,2011-06-25 03:00:00+03:00,0.0
versus versace watches,2011-07-02 03:00:00+03:00,0.0
versus versace watches,2011-07-09 03:00:00+03:00,0.0
versus versace watches,2011-07-16 03:00:00+03:00,0.0
versus versace watches,2011-07-23 03:00:00+03:00,0.0
versus versace watches,2011-07-30 03:00:00+03:00,0.0
versus versace watches,2011-08-06 03:00:00+03:00,0.0
versus versace watches,2011-08-13 03:00:00+03:00,0.0
versus versace watches,2011-08-20 03:00:00+03:00,0.0
versus versace watches,2011-08-27 03:00:00+03:00,0.0
versus versace watches,2011-09-03 03:00:00+03:00,0.0
versus versace watches,2011-09-10 03:00:00+03:00,0.0
versus versace watches,2011-09-17 03:00:00+03:00,0.0
versus versace watches,2011-09-24 03:00:00+03:00,0.0
versus versace watches,2011-10-01 03:00:00+03:00,0.0
versus versace watches,2011-10-08 03:00:00+03:00,0.0
versus versace watches,2011-10-15 03:00:00+03:00,0.0
versus versace watches,2011-10-22 03:00:00+03:00,0.0
versus versace watches,2011-10-29 03:00:00+03:00,0.0
versus versace watches,2011-11-05 02:00:00+02:00,0.0
versus versace watches,2011-11-12 02:00:00+02:00,0.0
versus versace watches,2011-11-19 02:00:00+02:00,0.0
versus versace watches,2011-11-26 02:00:00+02:00,0.0
versus versace watches,2011-12-03 02:00:00+02:00,0.0
versus versace watches,2011-12-10 02:00:00+02:00,0.0
versus versace watches,2011-12-17 02:00:00+02:00,0.0
versus versace watches,2011-12-24 02:00:00+02:00,0.0
versus versace watches,2011-12-31 02:00:00+02:00,0.0
versus versace watches,2012-01-07 02:00:00+02:00,0.0
versus versace watches,2012-01-14 02:00:00+02:00,0.0
versus versace watches,2012-01-21 02:00:00+02:00,0.0
