keyword,date,value
a side tv,2011-04-09 03:00:00+03:00,3.549295774647887
a side tv,2011-04-16 03:00:00+03:00,3.887323943661972
a side tv,2011-04-23 03:00:00+03:00,4.056338028169014
a side tv,2011-04-30 03:00:00+03:00,4.47887323943662
a side tv,2011-05-07 03:00:00+03:00,4.056338028169014
a side tv,2011-05-14 03:00:00+03:00,3.211267605633803
a side tv,2011-05-21 03:00:00+03:00,5.23943661971831
a side tv,2011-05-28 03:00:00+03:00,3.887323943661972
a side tv,2011-06-04 03:00:00+03:00,6.169014084507042
a side tv,2011-06-11 03:00:00+03:00,5.408450704225352
a side tv,2011-06-18 03:00:00+03:00,4.816901408450704
a side tv,2011-06-25 03:00:00+03:00,3.464788732394366
a side tv,2011-07-02 03:00:00+03:00,5.323943661971831
a side tv,2011-07-09 03:00:00+03:00,3.380281690140845
a side tv,2011-07-16 03:00:00+03:00,3.549295774647887
a side tv,2011-07-23 03:00:00+03:00,3.549295774647887
a side tv,2011-07-30 03:00:00+03:00,4.901408450704225
a side tv,2011-08-06 03:00:00+03:00,6.0
a side tv,2011-08-13 03:00:00+03:00,4.309859154929577
a side tv,2011-08-20 03:00:00+03:00,5.577464788732394
a side tv,2011-08-27 03:00:00+03:00,5.408450704225352
a side tv,2011-09-03 03:00:00+03:00,4.225352112676056
a side tv,2011-09-10 03:00:00+03:00,6.338028169014084
a side tv,2011-09-17 03:00:00+03:00,5.915492957746479
a side tv,2011-09-24 03:00:00+03:00,5.830985915492958
a side tv,2011-10-01 03:00:00+03:00,4.309859154929577
a side tv,2011-10-08 03:00:00+03:00,5.492957746478873
a side tv,2011-10-15 03:00:00+03:00,5.746478873239436
a side tv,2011-10-22 03:00:00+03:00,5.661971830985915
a side tv,2011-10-29 03:00:00+03:00,7.352112676056338
a side tv,2011-11-05 02:00:00+02:00,5.746478873239436
a side tv,2011-11-12 02:00:00+02:00,4.816901408450704
a side tv,2011-11-19 02:00:00+02:00,6.0
a side tv,2011-11-26 02:00:00+02:00,5.070422535211268
a side tv,2011-12-03 02:00:00+02:00,4.816901408450704
a side tv,2011-12-10 02:00:00+02:00,6.253521126760563
a side tv,2011-12-17 02:00:00+02:00,5.915492957746479
a side tv,2011-12-24 02:00:00+02:00,5.577464788732394
a side tv,2011-12-31 02:00:00+02:00,6.169014084507042
a side tv,2012-01-07 02:00:00+02:00,5.408450704225352
a side tv,2012-01-14 02:00:00+02:00,8.450704225352112
a side tv,2012-01-21 02:00:00+02:00,6.0
a side tv,2012-01-28 02:00:00+02:00,5.492957746478873
a side tv,2012-02-04 02:00:00+02:00,5.323943661971831
a side tv,2012-02-11 02:00:00+02:00,5.746478873239436
a side tv,2012-02-18 02:00:00+02:00,5.154929577464789
a side tv,2012-02-25 02:00:00+02:00,3.8028169014084505
a side tv,2012-03-03 02:00:00+02:00,7.267605633802817
a side tv,2012-03-10 02:00:00+02:00,5.323943661971831
a side tv,2012-03-17 02:00:00+02:00,5.661971830985915
a side tv,2012-03-24 02:00:00+02:00,4.901408450704225
a side tv,2012-03-31 03:00:00+03:00,6.591549295774648
a side tv,2012-04-07 03:00:00+03:00,5.070422535211268
a side tv,2012-04-14 03:00:00+03:00,5.830985915492958
a side tv,2012-04-21 03:00:00+03:00,5.23943661971831
a side tv,2012-04-28 03:00:00+03:00,6.084507042253521
a side tv,2012-05-05 03:00:00+03:00,6.76056338028169
a side tv,2012-05-12 03:00:00+03:00,3.380281690140845
a side tv,2012-05-19 03:00:00+03:00,5.408450704225352
a side tv,2012-05-26 03:00:00+03:00,6.253521126760563
a side tv,2012-06-02 03:00:00+03:00,6.338028169014084
a side tv,2012-06-09 03:00:00+03:00,5.323943661971831
a side tv,2012-06-16 03:00:00+03:00,5.830985915492958
a side tv,2012-06-23 03:00:00+03:00,6.76056338028169
a side tv,2012-06-30 03:00:00+03:00,7.605633802816901
a side tv,2012-07-07 03:00:00+03:00,7.014084507042253
a side tv,2012-07-14 03:00:00+03:00,4.309859154929577
a side tv,2012-07-21 03:00:00+03:00,6.929577464788732
a side tv,2012-07-28 03:00:00+03:00,5.661971830985915
a side tv,2012-08-04 03:00:00+03:00,5.492957746478873
a side tv,2012-08-11 03:00:00+03:00,6.422535211267606
a side tv,2012-08-18 03:00:00+03:00,7.098591549295774
a side tv,2012-08-25 03:00:00+03:00,7.352112676056338
a side tv,2012-09-01 03:00:00+03:00,5.915492957746479
a side tv,2012-09-08 03:00:00+03:00,5.492957746478873
a side tv,2012-09-15 03:00:00+03:00,4.732394366197183
a side tv,2012-09-22 03:00:00+03:00,6.253521126760563
a side tv,2012-09-29 03:00:00+03:00,5.577464788732394
a side tv,2012-10-06 03:00:00+03:00,4.985915492957746
a side tv,2012-10-13 03:00:00+03:00,5.746478873239436
a side tv,2012-10-20 03:00:00+03:00,4.647887323943662
