keyword,parent,company,funnel,until_date,status,date_range_start,date_range_end,data_points,error
bailey44,mister car wash,"Digital Brands Group, Inc.",branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
gonso,mister car wash,Clarus Corporation,branded,2010-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
shakeology,webjet,"The Beachbody Company, Inc.",branded,2021-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
caldwell,mister car wash,"American Outdoor Brands, Inc.",branded,2020-07-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
aureus mining inc.,mister car wash,Aureus Greenway Holdings Inc.,branded,2010-01-31,success,2021-01-30 02:00:00+02:00,2026-01-24 02:00:00+02:00,261,
row house,trustpilot,"Xponential Fitness, Inc.",branded,2021-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
newmar,sandro,"Winnebago Industries, Inc.",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
chriscraft,sandro,"Winnebago Industries, Inc.",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
stuart weitzman,answear,"Tapestry, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
k-z rv,american eagle outfitters,"Thor Industries, Inc.",branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
carado,card factory,"Thor Industries, Inc.",branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
banff gondola,webjet,"Pursuit Attractions and Hospitality, Inc.",branded,2017-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
gem,under armour,Polaris Inc.,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
concord,under armour,Movado Group Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
coach watches,american eagle outfitters,Movado Group Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
tommy hilfiger watches,webjet,Movado Group Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
hugo boss watches,webjet,Movado Group Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
lacoste watches,under armour,Movado Group Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
calvin klein watches,american eagle outfitters,Movado Group Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
ferrari watches,trustpilot,Movado Group Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
versus versace watches,american eagle outfitters,Movado Group Inc.,branded,2010-01-31,failed,,,0,"Oxylabs API error: 204 (x-oxylabs-job-id=7421258055066615809) | keyword='versus versace watches', date_from='2011-04-05', date_to='2016-04-04' | No Content"
olivia burton,boot barn,Movado Group Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
mvmt,boot barn,Movado Group Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
