keyword,parent,company,funnel,until_date,status,date_range_start,date_range_end,data_points,error
rebecca minkoff watches,webjet,Movado Group Inc.,branded,2010-01-31,NOT_NORMALIZED,,,0,No data for rebecca minkoff watches in window 1
callaway golf,card factory,Topgolf Callaway Brands Corp.,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
topgolf,trustpilot,Topgolf Callaway Brands Corp.,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
travismathew,card factory,Topgolf Callaway Brands Corp.,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
jack wolfskin,trustpilot,Topgolf Callaway Brands Corp.,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
ogio,answear,Topgolf Callaway Brands Corp.,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
odyssey,mister car wash,Topgolf Callaway Brands Corp.,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
mfs intermediate income trust,sandro,MFS Intermediate Income TrustCEF,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
resorts casino hotel,american eagle outfitters,Resorts International,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
marcus theatres,american eagle outfitters,Marcus Corporation (The),branded,2010-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
marcus hotels & resorts,answear,Marcus Corporation (The),branded,2010-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
masterbrand cabinets,trustpilot,"MasterBrand, Inc.",branded,2022-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
aristokraft,answear,"MasterBrand, Inc.",branded,2022-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
decora,mister car wash,"MasterBrand, Inc.",branded,2022-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
diamond cabinets,boot barn,"MasterBrand, Inc.",branded,2022-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
homecrest cabinetry,mister car wash,"MasterBrand, Inc.",branded,2022-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
kemper cabinets,webjet,"MasterBrand, Inc.",branded,2022-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
kitchencraft cabinetry,mister car wash,"MasterBrand, Inc.",branded,2022-12-31,failed,,,0,"Oxylabs API error: 204 (x-oxylabs-job-id=7421260518196776961) | keyword='kitchencraft cabinetry', date_from='2011-04-05', date_to='2016-04-04' | No Content"
norcraft cabinetry,american eagle outfitters,"MasterBrand, Inc.",branded,2022-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
omega cabinetry,boot barn,"MasterBrand, Inc.",branded,2022-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
schrock cabinetry,mister car wash,"MasterBrand, Inc.",branded,2022-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
starmark cabinetry,answear,"MasterBrand, Inc.",branded,2022-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
ultracraft cabinets,american eagle outfitters,"MasterBrand, Inc.",branded,2022-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
cabinets to go,boot barn,"MasterBrand, Inc.",branded,2022-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
manchester united,sandro,Manchester,branded,2012-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
manchester city,under armour,Manchester,branded,2012-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
la-z-boy,answear,La-Z-Boy Incorporated,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
kincaid furniture,answear,La-Z-Boy Incorporated,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
american drew,answear,La-Z-Boy Incorporated,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
hammary furniture,trustpilot,La-Z-Boy Incorporated,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
england furniture,under armour,La-Z-Boy Incorporated,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
livewire,trustpilot,"LiveWire Group, Inc.",branded,2022-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
lucky strike,answear,Lucky Strike Entertainment Corporation,branded,2024-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
life time,boot barn,"Life Time Group Holdings, Inc.",branded,2021-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
life time work,card factory,"Life Time Group Holdings, Inc.",branded,2021-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
life time living,webjet,"Life Time Group Holdings, Inc.",branded,2021-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
lifecafe,american eagle outfitters,"Life Time Group Holdings, Inc.",branded,2021-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
lifespa,card factory,"Life Time Group Holdings, Inc.",branded,2021-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
life time athletic events,card factory,"Life Time Group Holdings, Inc.",branded,2021-09-30,success,2021-01-30 02:00:00+02:00,2026-01-24 02:00:00+02:00,261,
k12,webjet,"Stride, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
stride k12,card factory,"Stride, Inc.",branded,2010-03-31,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517,
tallo,american eagle outfitters,"Stride, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
galileo learning,mister car wash,"Stride, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
medcerts,mister car wash,"Stride, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
stride career prep,american eagle outfitters,"Stride, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
signature by levi strauss & co,american eagle outfitters,Levi Strauss & Co,branded,2019-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
denizen from levi's,mister car wash,Levi Strauss & Co,branded,2019-02-28,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517,
beyond yoga,webjet,Levi Strauss & Co,branded,2019-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
leggett & platt,card factory,"Leggett & Platt, Incorporated",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
fashion bed group,sandro,"Leggett & Platt, Incorporated",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
comfortcore,mister car wash,"Leggett & Platt, Incorporated",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
verticoil,under armour,"Leggett & Platt, Incorporated",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
elite sleep,webjet,"Leggett & Platt, Incorporated",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
wolford,answear,Lanvin Group Holdings Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
sergio rossi,mister car wash,Lanvin Group Holdings Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
st john knits,under armour,Lanvin Group Holdings Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
caruso,american eagle outfitters,Lanvin Group Holdings Limited,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
rock & republic,under armour,"Kontoor Brands, Inc.",branded,2019-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
j.jill,webjet,"J. Jill, Inc.",branded,2017-04-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
imax,under armour,Imax Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
imax dmr,under armour,Imax Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
imax with laser,under armour,Imax Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
imax enhanced,sandro,Imax Corporation,branded,2010-03-31,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517,
h&r block,card factory,"H&R Block, Inc.",branded,2013-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
h&r block emerald card,webjet,"H&R Block, Inc.",branded,2013-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
hayward,card factory,"Hayward Holdings, Inc.",branded,2020-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
titleist,card factory,Acushnet Holdings Corp.,branded,2016-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
footjoy,mister car wash,Acushnet Holdings Corp.,branded,2016-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
vokey design,sandro,Acushnet Holdings Corp.,branded,2016-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
scotty cameron,webjet,Acushnet Holdings Corp.,branded,2016-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
pinnacle,under armour,Acushnet Holdings Corp.,branded,2016-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
kjus,american eagle outfitters,Acushnet Holdings Corp.,branded,2016-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
global industrial,webjet,Global Industrial Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
tigerdirect,card factory,Global Industrial Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
directron,trustpilot,Global Industrial Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
the washington post,american eagle outfitters,Graham Holdings Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
kaplan,mister car wash,Graham Holdings Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
kaplan test prep,trustpilot,Graham Holdings Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
kaplan university,boot barn,Graham Holdings Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
kaplan professional,webjet,Graham Holdings Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
carscom,under armour,Graham Holdings Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
graham media group,answear,Graham Holdings Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
clyde's restaurant group,webjet,Graham Holdings Company,branded,2010-03-31,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517,
framebridge,sandro,Graham Holdings Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
residential healthcare group,sandro,Graham Holdings Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
marciano,sandro,"Guess?, Inc.",branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
g by guess,american eagle outfitters,"Guess?, Inc.",branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
guess kids,answear,"Guess?, Inc.",branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
journeys,boot barn,Genesco Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
journeys kidz,under armour,Genesco Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
shi by journeys,american eagle outfitters,Genesco Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
little burgundy,mister car wash,Genesco Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
schuh,american eagle outfitters,Genesco Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
johnston & murphy,trustpilot,Genesco Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
dockers footwear,trustpilot,Genesco Inc.,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
american express global business travel,boot barn,"Global Business Travel Group, Inc.",branded,2022-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
egencia,american eagle outfitters,"Global Business Travel Group, Inc.",branded,2022-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
ovation travel group,trustpilot,"Global Business Travel Group, Inc.",branded,2022-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
cwt,mister car wash,"Global Business Travel Group, Inc.",branded,2022-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
neo,card factory,"Global Business Travel Group, Inc.",branded,2022-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
six flags,under armour,Six Flags Entertainment Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
hurricane harbor,under armour,Six Flags Entertainment Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
etsy,sandro,"Etsy, Inc.",branded,2015-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
reverb,boot barn,"Etsy, Inc.",branded,2015-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
depop,sandro,"Etsy, Inc.",branded,2015-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
elo7,american eagle outfitters,"Etsy, Inc.",branded,2015-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
ethan allen,sandro,Ethan Allen Interiors Inc.,branded,2010-06-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
edgewell personal care company,answear,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
schick,answear,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
wilkinson sword,webjet,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
edge,trustpilot,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
skintimate,trustpilot,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
playtex,trustpilot,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
stayfree,trustpilot,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
carefree,sandro,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
o.b.,american eagle outfitters,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
banana boat,american eagle outfitters,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
hawaiian tropic,mister car wash,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
wet ones,answear,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
bull frog,trustpilot,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
personna,trustpilot,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
cremo,trustpilot,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
jack black,american eagle outfitters,Edgewell Personal Care Company,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
energizer,card factory,"Energizer Holdings, Inc.",branded,2013-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
eveready,card factory,"Energizer Holdings, Inc.",branded,2013-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
schick,mister car wash,"Energizer Holdings, Inc.",branded,2013-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
wilkinson sword,answear,"Energizer Holdings, Inc.",branded,2013-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
edge,mister car wash,"Energizer Holdings, Inc.",branded,2013-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
skintimate,answear,"Energizer Holdings, Inc.",branded,2013-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
playtex,webjet,"Energizer Holdings, Inc.",branded,2013-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
hawaiian tropic,card factory,"Energizer Holdings, Inc.",branded,2013-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
banana boat,trustpilot,"Energizer Holdings, Inc.",branded,2013-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
wet ones,webjet,"Energizer Holdings, Inc.",branded,2013-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
e.l.f. cosmetics,card factory,"e.l.f. Beauty, Inc.",branded,2016-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
w3ll people,boot barn,"e.l.f. Beauty, Inc.",branded,2016-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
keys soulcare,mister car wash,"e.l.f. Beauty, Inc.",branded,2016-09-30,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517,
naturium,answear,"e.l.f. Beauty, Inc.",branded,2016-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
new oriental,card factory,"New Oriental Education & Technology Group, Inc. Sponsored ADRDR",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
koolearn,sandro,"New Oriental Education & Technology Group, Inc. Sponsored ADRDR",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
dongfang zhenxuan,webjet,"New Oriental Education & Technology Group, Inc. Sponsored ADRDR",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
new oriental vision overseas consulting,boot barn,"New Oriental Education & Technology Group, Inc. Sponsored ADRDR",branded,2010-02-28,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517,
pop kids english,boot barn,"New Oriental Education & Technology Group, Inc. Sponsored ADRDR",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
new oriental star,trustpilot,"New Oriental Education & Technology Group, Inc. Sponsored ADRDR",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
chili's grill & bar,boot barn,"Brinker International, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
maggiano's little italy,sandro,"Brinker International, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
it's just wings,american eagle outfitters,"Brinker International, Inc.",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
maggiano's italian classics,webjet,"Brinker International, Inc.",branded,2010-03-31,success,2021-01-30 02:00:00+02:00,2026-01-24 02:00:00+02:00,261,
olive garden,card factory,"Darden Restaurants, Inc.",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
longhorn steakhouse,under armour,"Darden Restaurants, Inc.",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
the capital grille,webjet,"Darden Restaurants, Inc.",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
bahama breeze,mister car wash,"Darden Restaurants, Inc.",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
seasons 52,under armour,"Darden Restaurants, Inc.",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
eddie v's prime seafood,card factory,"Darden Restaurants, Inc.",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
red lobster,sandro,"Darden Restaurants, Inc.",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
yard house,card factory,"Darden Restaurants, Inc.",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
cheddar's scratch kitchen,answear,"Darden Restaurants, Inc.",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
ruth's chris steak house,boot barn,"Darden Restaurants, Inc.",branded,2010-02-28,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
ihop,mister car wash,"Dine Brands Global, Inc. Common Stock",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
applebee's,trustpilot,"Dine Brands Global, Inc. Common Stock",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
fazoli's,mister car wash,"Dine Brands Global, Inc. Common Stock",branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
ugg,sandro,Deckers Outdoor Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
hoka,sandro,Deckers Outdoor Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
teva,boot barn,Deckers Outdoor Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
sanuk,answear,Deckers Outdoor Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773,
